epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1916,2.34559,1.99834,2.33729,0.72457,0.29412,0.38166,0.12767,2.49117,2.24401,2.63981,0.00134,0.00134,0.00134
102,1934.01,2.35984,1.97549,2.48674,0.65938,0.34265,0.43332,0.17328,2.30703,2.14768,2.51438,0.0013334,0.0013334,0.0013334
103,1952.16,2.36727,1.87963,2.44289,0.6562,0.45027,0.52789,0.16656,2.44388,1.9203,2.60702,0.0013268,0.0013268,0.0013268
104,1970.11,2.47296,1.90636,2.4176,0.53376,0.47059,0.50352,0.23112,2.26483,2.13433,2.54325,0.0013202,0.0013202,0.0013202
105,1987.99,2.23709,2.31085,2.44002,0.53376,0.47059,0.50352,0.23112,2.26483,2.13433,2.54325,0.0013136,0.0013136,0.0013136
106,2006.16,2.23317,1.78525,2.1869,0.60195,0.44593,0.42339,0.20149,2.28576,2.33147,2.51168,0.001307,0.001307,0.001307
107,2024.15,2.32181,1.86936,2.28815,0.44182,0.52941,0.40228,0.18665,2.25801,2.31005,2.45621,0.0013004,0.0013004,0.0013004
108,2042.12,2.27193,1.80378,2.20856,0.37893,0.47059,0.39112,0.17155,2.24959,2.10269,2.42364,0.0012938,0.0012938,0.0012938
109,2060.12,2.2713,1.95919,2.3054,0.37893,0.47059,0.39112,0.17155,2.24959,2.10269,2.42364,0.0012872,0.0012872,0.0012872
110,2078.36,2.29722,1.87117,2.26539,0.49563,0.40509,0.40453,0.18003,2.1868,2.12839,2.43124,0.0012806,0.0012806,0.0012806
111,2096.64,2.22711,1.81711,2.27857,0.48739,0.52941,0.53269,0.22861,2.1442,2.02994,2.41849,0.001274,0.001274,0.001274
112,2114.98,2.22376,1.80946,2.21422,0.70458,0.41176,0.51049,0.16682,2.32817,2.08913,2.49018,0.0012674,0.0012674,0.0012674
113,2133.21,2.29559,1.87284,2.22548,0.70458,0.41176,0.51049,0.16682,2.32817,2.08913,2.49018,0.0012608,0.0012608,0.0012608
114,2151.96,2.16376,1.78558,2.22681,0.4735,0.41176,0.41462,0.14152,2.49096,2.13346,2.60278,0.0012542,0.0012542,0.0012542
115,2170.01,2.23228,1.89852,2.29651,0.53135,0.47059,0.45932,0.15228,2.47739,2.0636,2.6279,0.0012476,0.0012476,0.0012476
116,2188.38,2.04299,1.65452,2.19359,0.86693,0.47059,0.63601,0.25703,2.35762,1.65456,2.52667,0.001241,0.001241,0.001241
117,2206.29,2.23725,1.70436,2.16687,0.86693,0.47059,0.63601,0.25703,2.35762,1.65456,2.52667,0.0012344,0.0012344,0.0012344
118,2224.45,2.02625,1.56577,2.0911,0.5188,0.47059,0.47084,0.15796,2.35507,2.05334,2.53727,0.0012278,0.0012278,0.0012278
119,2242.52,2.30497,1.85105,2.22972,0.3319,0.52941,0.24513,0.11251,2.4189,2.28505,2.57463,0.0012212,0.0012212,0.0012212
120,2260.68,2.33026,2.16149,2.37577,0.34593,0.52941,0.30121,0.12693,2.44271,2.10985,2.53161,0.0012146,0.0012146,0.0012146
121,2278.83,2.26997,1.95211,2.17078,0.34593,0.52941,0.30121,0.12693,2.44271,2.10985,2.53161,0.001208,0.001208,0.001208
122,2296.79,2.16452,1.81561,2.19539,0.49332,0.5733,0.4721,0.192,2.4641,1.95911,2.56043,0.0012014,0.0012014,0.0012014
123,2315.02,2.23194,1.62497,2.16452,0.58316,0.57664,0.48622,0.18797,2.44535,1.84398,2.55988,0.0011948,0.0011948,0.0011948
124,2333.06,2.29456,1.61627,2.13732,0.39916,0.47059,0.39969,0.17701,2.44467,1.85955,2.57828,0.0011882,0.0011882,0.0011882
125,2350.97,2.24187,1.859,2.27314,0.39916,0.47059,0.39969,0.17701,2.44467,1.85955,2.57828,0.0011816,0.0011816,0.0011816
126,2369.19,2.27407,1.88997,2.26868,0.42081,0.52941,0.43369,0.19091,2.45917,1.90933,2.57136,0.001175,0.001175,0.001175
127,2387.17,2.29313,1.93203,2.17354,0.51586,0.3772,0.43697,0.20585,2.3729,1.90172,2.56418,0.0011684,0.0011684,0.0011684
128,2405.47,2.27396,1.77758,2.24765,0.49627,0.52196,0.5373,0.24062,2.30813,1.8537,2.50992,0.0011618,0.0011618,0.0011618
129,2423.43,2.13241,1.6708,2.15514,0.49627,0.52196,0.5373,0.24062,2.30813,1.8537,2.50992,0.0011552,0.0011552,0.0011552
130,2441.37,2.05504,1.69631,2.08195,0.60407,0.52941,0.53921,0.22576,2.16824,1.74661,2.38814,0.0011486,0.0011486,0.0011486
131,2459.57,2.14894,1.69062,2.0988,0.77569,0.58824,0.55037,0.23989,2.18253,1.88783,2.36843,0.001142,0.001142,0.001142
132,2477.7,2.05989,1.71649,2.02608,0.68091,0.58824,0.51902,0.22783,2.28133,1.93949,2.4487,0.0011354,0.0011354,0.0011354
133,2495.61,2.10174,1.63365,2.13543,0.68091,0.58824,0.51902,0.22783,2.28133,1.93949,2.4487,0.0011288,0.0011288,0.0011288
134,2513.6,2.13363,1.67559,2.18681,0.6628,0.52941,0.49729,0.21745,2.26839,1.94947,2.45142,0.0011222,0.0011222,0.0011222
135,2531.65,2.09942,1.78321,2.24222,0.49822,0.52941,0.46482,0.21811,2.22425,1.88188,2.41571,0.0011156,0.0011156,0.0011156
136,2549.74,2.09095,1.74048,2.20839,0.74238,0.47059,0.6554,0.23663,2.17785,1.75461,2.35748,0.001109,0.001109,0.001109
137,2567.85,1.94474,1.53663,2.00293,0.74238,0.47059,0.6554,0.23663,2.17785,1.75461,2.35748,0.0011024,0.0011024,0.0011024
138,2586.18,1.97605,1.60823,2.09585,0.73076,0.47059,0.59816,0.26376,2.05693,1.59799,2.3346,0.0010958,0.0010958,0.0010958
139,2604.38,2.04648,1.75175,2.07674,0.68501,0.58824,0.58227,0.27101,2.03888,1.54419,2.32467,0.0010892,0.0010892,0.0010892
140,2622.94,2.02278,1.57391,2.05976,0.8407,0.62203,0.69172,0.28921,2.15749,1.56798,2.351,0.0010826,0.0010826,0.0010826
141,2641.1,1.97935,1.55402,1.9938,0.8407,0.62203,0.69172,0.28921,2.15749,1.56798,2.351,0.001076,0.001076,0.001076
142,2659.38,1.9531,1.59554,2.01321,0.77858,0.6216,0.62824,0.25623,2.33521,1.59574,2.43939,0.0010694,0.0010694,0.0010694
143,2677.57,2.02121,1.61611,2.03712,0.76434,0.64706,0.64981,0.22831,2.41143,1.65322,2.51311,0.0010628,0.0010628,0.0010628
144,2695.71,2.01149,1.51156,1.9774,0.64152,0.63228,0.61665,0.23281,2.41618,1.66138,2.50031,0.0010562,0.0010562,0.0010562
145,2713.78,1.93529,1.4874,2.02868,0.64152,0.63228,0.61665,0.23281,2.41618,1.66138,2.50031,0.0010496,0.0010496,0.0010496
146,2732.16,1.90106,1.38033,2.02761,0.73186,0.58824,0.62419,0.25337,2.3196,1.60361,2.47544,0.001043,0.001043,0.001043
147,2750.11,1.96374,1.65974,2.15119,0.7095,0.58824,0.68633,0.29139,2.26299,1.54492,2.47253,0.0010364,0.0010364,0.0010364
148,2768.29,1.89422,1.60629,1.9981,0.65242,0.64706,0.65775,0.28737,2.17342,1.49992,2.42015,0.0010298,0.0010298,0.0010298
149,2786.1,2.00077,1.65503,2.02407,0.65242,0.64706,0.65775,0.28737,2.17342,1.49992,2.42015,0.0010232,0.0010232,0.0010232
150,2804.2,1.97306,1.52853,2.03049,0.82866,0.5701,0.67399,0.31529,2.10844,1.52371,2.36381,0.0010166,0.0010166,0.0010166
151,2822.24,1.98868,1.63778,2.01584,0.92931,0.52941,0.75338,0.332,2.18455,1.49591,2.36555,0.00101,0.00101,0.00101
152,2840.34,1.80091,1.33692,1.86682,0.85707,0.47059,0.62729,0.26926,2.20401,1.65283,2.34769,0.0010034,0.0010034,0.0010034
153,2858.46,1.90565,1.4927,2.11024,0.85707,0.47059,0.62729,0.26926,2.20401,1.65283,2.34769,0.0009968,0.0009968,0.0009968
154,2876.4,2.11928,1.61776,2.12017,0.86745,0.47059,0.62775,0.25648,2.21064,1.70848,2.3367,0.0009902,0.0009902,0.0009902
155,2894.35,1.91625,1.49396,1.99638,0.88987,0.47059,0.62068,0.23804,2.22059,1.76506,2.35794,0.0009836,0.0009836,0.0009836
156,2912.43,1.99897,1.63472,2.12349,0.89556,0.52941,0.6382,0.28597,2.17032,1.68821,2.36146,0.000977,0.000977,0.000977
157,2930.6,1.82386,1.36247,1.92452,0.89556,0.52941,0.6382,0.28597,2.17032,1.68821,2.36146,0.0009704,0.0009704,0.0009704
